NAME,SIZE,QUANTITY,PRICES
,,,
HAPPY PACK,Small,2,
,Medium,1,
,Large,0,
,,,"₦2,250.00"
,,,
MIRCON PACK,Small,4,
,Medium,2,
,Large,1,
,,,"₦4,500.00"
,,,
HANDY PACK,Small,8,
,Medium,4,
,Large,2,
,Ex.large,1,
,,,"₦9,000.00"
,,,
MINI PACK,Small,16,
,Medium,8,
,Large,4,
,Ex.large,2,
,,,"₦18,000.00"
,,,
ECO PACK,Small,32,
,Medium,16,
,Large,8,
,Ex.large,4,
,,,"₦36,000.00"
,,,
SUPER PACK,Small,64,
,Medium,32,
,Large,16,
,Ex.large,8,
,,,"₦72,000.00"
,,,
JUMBO PACK ,Small,128,
,Medium,64,
,Large,32,
,Ex.large,16,
,,,"₦144,000.00"
,,,
FENDOL COMBO,,,
Combo 1 ,Mixture of ,,
,Small,,
,Medium,,
,Large,,
,,,
Combo 2,Mixture of ,,
,Small,,
,Medium,,
,,,
Combo 3,Mixture of ,,
,Medium,,
,Large,,
,,,
Combo 4,MIxture of ,,
,Small,,
,Large,,
